CNY,CNY
USD,USD
CHF,CHF
GBP,GBP
EUR,EUR
AUD,AUD
HKD,HKD
JPY,JPY
CAD,CAD
MOP,MOP
KPW,KPW
SGD,SGD
TWD,TWD
