CODE#DESC#COLOR_ALPHA#COLOR_RED#COLOR_GREEN#COLOR_BLUE
0001#Truck#255#246#137#30
0002#Rail#255#73#166#221
0003#Airplane#255#155#78#44
0004#Courier, Express, and Delivery Company#255#70#65#154
0005#Ship3#255#109#25#175
0006#Car#255#32#153#116
0007#Barge#255#129#129#44
0008#Parcel#255#153#31#99
*#ALL####
