COST_TYPE_CODE;LANG_CODE;DESC
CODE#E#DESC
0001#E#Truck
0002#E#Rail
0003#E#Airplane
0004#E#Courier, Express, and Delivery Company
0005#E#Ship3
0006#E#Car
0007#E#Barge
0008#E#Parcel
*#E#ALL
