MIGRATION,TRP system upgrade migration mode,BOOLEAN,,,
LANE_TRP,Lane Determination for TRP,BOOLEAN,,,
PICKUP_RETURN_PACKET_SIZE,Pickup return packet size,INT,1,1,
PICKUP_RETURN_LOCATION_PAIR_GROUP_ACTIVATION,Pickup return location pair group activation flag,BOOLEAN,,,
PICKUP_RETURN_LOCATION_PAIR_GROUP_FIELD_NAME_1,Pickup return location pair group field name 1,STRING,,,
PICKUP_RETURN_LOCATION_PAIR_GROUP_FIELD_NAME_2,Pickup return location pair group field name 2,STRING,,,
