ID;ADAPTER_ID;DICTIONARY_SCHEMA;DICTIONARY_NAME;VIRTUAL_TABLE_SCHEMA;VIRTUAL_TABLE_NAME;VIRTUAL_TABLE_PAKCAGE
1;1;SYS;SYSTABLE;SAP_TM_TRP;SYSTABLE;sap.tm.trp.db.archive::
2;1;SYS;SYSTABCOL;SAP_TM_TRP;SYSTABCOL;sap.tm.trp.db.archive::
3;1;SYS;SYSCATALOG;SAP_TM_TRP;SYSCATALOG;sap.tm.trp.db.archive::
4;1;SYS;SYSUSER;SAP_TM_TRP;SYSUSER;sap.tm.trp.db.archive::
