sequence name;table name;column name;schema name
sap.tm.trp.db.pickupreturn::s_location_rule;sap.tm.trp.db.pickupreturn::t_location_rule_t;ID;SAP_TM_TRP
sap.tm.trp.db.pipeline::s_pipeline_model;sap.tm.trp.db.pipeline::t_pipeline_model_t;ID;SAP_TM_TRP
sap.tm.trp.db.pipeline::s_pipeline_model;sap.tm.trp.db.hrf.ruleManage.ruleGroup::t_rule_t;ID;SAP_TM_TRP
sap.tm.trp.db.pipeline::s_plan_execution;sap.tm.trp.db.pipeline::t_execution_context;EXECUTION_ID;SAP_TM_TRP
sap.tm.trp.db.pipeline::s_plan_model;sap.tm.trp.db.alert.alert_rule_group::t_alert_rule_group_assign_plan_model;PLAN_MODEL_ID;SAP_TM_TRP
sap.tm.trp.db.pipeline::s_plan_model;sap.tm.trp.db.pipeline::t_virtual_plan_persisted_plan;VIRTUAL_PLAN_MODEL_ID;SAP_TM_TRP
sap.tm.trp.db.planningcockpit::s_activity;sap.tm.trp.db.planningcockpit::t_activity_t;ID;SAP_TM_TRP
sap.tm.trp.db.planningcockpit::s_scenario;sap.tm.trp.db.planningcockpit::t_scenario_t;ID;SAP_TM_TRP
sap.tm.trp.db.planningcockpit::s_simulation;sap.tm.trp.db.planningcockpit::t_simulation_plan_t;ID;SAP_TM_TRP
sap.tm.trp.db.systemmanagement.customization::s_map_provider;sap.tm.trp.db.systemmanagement.customization::t_map_provider_t;ID;SAP_TM_TRP
sap.tm.trp.db.systemmanagement.customization::s_resource_category;sap.tm.trp.db.systemmanagement.customization::t_resource_category_settings_t;ID;SAP_TM_TRP
sap.tm.trp.db.systemmanagement::s_equip_group;sap.tm.trp.db.systemmanagement::t_equipment_group_t;ID;SAP_TM_TRP
sap.tm.trp.db.systemmanagement::s_equip_group;sap.tm.trp.db.systemmanagement::t_equipment_group_item;EQUIPMENT_GROUP_ID;SAP_TM_TRP
sap.tm.trp.db.systemmanagement::s_location_group;sap.tm.trp.db.systemmanagement::t_location_group_t;ID;SAP_TM_TRP
sap.tm.trp.db.systemmanagement::s_location_group;sap.tm.trp.db.systemmanagement::t_region_group_t;ID;SAP_TM_TRP
sap.tm.trp.db.systemmanagement::s_location_group;sap.tm.trp.db.systemmanagement::t_zone_group_t;ID;SAP_TM_TRP
sap.tm.trp.db.pickupreturn::s_exclude_tu_col;sap.tm.trp.db.pickupreturn::t_register_exclude_processed_tu;ID;SAP_TM_TRP
sap.tm.trp.db.pickupreturn::s_exclude_tu_col;sap.tm.trp.db.pickupreturn::t_register_exclude_processed_tu_t;ID;SAP_TM_TRP
sap.tm.trp.db.hrf.ruleManage.ruleGroup::s_loc_eac_rule_group;sap.tm.trp.db.hrf.ruleManage.ruleGroup::t_loc_eac_rule_group;ID;SAP_TM_TRP
sap.tm.trp.db.hrf.ruleManage.ruleGroup::s_loc_eac_rule_group;sap.tm.trp.db.hrf.ruleManage.ruleGroup::t_loc_eac_rule_group_t;ID;SAP_TM_TRP
