ID,SPRAS,DESC
1,E,Stock
2,E,STOCK_TIME_WINDOW
3,E,Supply
4,E,Demand
5,E,Supply and Demand
6,E,Rate
7,E,Quantity
8,E,PR_PICKUP
9,E,PR_RETURN
10,E,RES_STOCK_ALERT
11,E,RES_STOCK_BUBBLE
14,E,SD_KPI_BUBBLE
16,E,AVC_PLAN
17,E,AVC_LEVEL
18,E,EXCLUSIVE_PICKUP
19,E,EXCLUSIVE_RETURN
