ID,SPRAS,DESC
1,E,STOCK
2,E,STOCK_SUPPLY_DEMAND
3,E,SUPPLY
4,E,DEMAND
5,E,SUPPLY_DEMAND
6,E,RATE
7,E,QUANTITY
8,E,PICKUP
9,E,RETURN
10,E,RES_STOCK_ALERT
11,E,RES_STOCK_BUBBLE
14,E,SD_KPI_BUBBLE
15,E,PR_EXCLUSION
16,E,AVC_PLAN
17,E,AVC_LEVEL
