ID;PAGE_ID;NAME;DISPLAY_NAME;DATA_TYPE;LENGTH;SCALE;SEARCHABLE;FILTERABLE;TYPE;CONFIGURABLE;CUSTOM;DEFAULT
3306;303;DESTINATION_LOCATION_ADDR;DESTINATION_LOCATION_ADDR;VARCHAR;200;0;1;0;0;1;0;1
3307;303;COMPLIANCE_STATUS_TXT;COMPLIANCE_STATUS_TXT;VARCHAR;30;0;1;0;0;1;0;1
3308;303;CREATION_TYPE_TXT;CREATION_TYPE_TXT;VARCHAR;30;0;1;0;0;1;0;1
3309;303;SCHEDULE_ID;SCHEDULE_DEPARTURE;VARCHAR;60;0;1;0;0;0;0;0
3310;303;LIFECYCLE_STATUS_TXT;LIFECYCLE_STATUS_TXT;VARCHAR;20;0;1;0;0;1;0;0
3311;303;EXECUTION_STATUS_TXT;EXECUTION_STATUS_TXT;VARCHAR;20;0;1;0;0;1;0;0
3312;303;STOCK;STOCK;VARCHAR;60;0;1;1;0;0;0;0
3313;303;RESPONSIBLE_PERSON;RESPONSIBLE_PERSON;VARCHAR;60;0;1;0;0;0;0;0
3314;303;CUSTOMS;CUSTOMS;VARCHAR;60;0;1;0;0;1;0;1
3315;303;SHIPPER;SHIPPER;VARCHAR;60;0;1;0;0;1;0;0
3316;303;CONSIGNEE;CONSIGNEE;VARCHAR;60;0;1;0;0;1;0;0
3318;303;TRMODCOD;TRMODCOD;VARCHAR;30;0;1;0;0;1;0;1
3319;303;PARTNER_REF_ID;PARTNER_REF_ID;VARCHAR;30;0;1;0;0;1;0;1
3320;303;PARTNER_MBL_ID;PARTNER_MBL_ID;VARCHAR;30;0;1;0;0;1;0;1
3321;303;MTR;MTR;VARCHAR;60;0;0;0;0;1;0;1
3322;303;DEPARTURE_TIME;DEPARTURE_TIME;DATE;0;0;1;1;0;1;0;1
3323;303;ARRIVAL_TIME;ARRIVAL_TIME;DATE;0;0;1;1;0;1;0;1
3324;303;CARRIER;CARRIER;VARCHAR;60;0;0;0;0;1;0;0
3325;303;PURCHASE_ORGANIZATION;PURCHASE_ORGANIZATION;VARCHAR;60;0;0;0;0;1;0;0
3326;303;PURCH_GRP_ID;PURCH_GRP_ID;VARCHAR;60;0;0;0;0;1;0;1
3327;303;MAX_UTIL;MAX_UTIL;DECIMAL;18;4;1;0;0;1;0;1
3328;303;FIRST_SHP_TRANSM;FIRST_SHP_TRANSM;DATE;0;0;1;1;0;1;0;1
3329;303;ERP_SHPM_BTDID;ERP_SHPM_BTDID;VARCHAR;60;0;0;0;0;1;0;1
3330;303;LAST_SHPM_TRANSM;LAST_SHPM_TRANSM;DATE;0;0;1;1;0;1;0;1
3331;303;ERP_SHPM_LOGSYS;ERP_SHPM_LOGSYS;VARCHAR;60;0;0;0;0;1;0;1
3332;303;ERP_SHPM_TYPE;ERP_SHPM_TYPE;VARCHAR;255;0;0;0;0;1;0;1
3333;303;LAST_LOCATION;LAST_LOCATION;VARCHAR;60;0;1;0;0;0;0;0
3334;303;NEXT_PLANNED_LOCATION;NEXT_PLANNED_LOCATION;VARCHAR;60;0;1;0;0;0;0;0
3335;303;MAX_UTIL_MASS;MAX_UTIL_MASS;VARCHAR;30;0;0;0;0;1;0;1
3336;303;DOC_CHECK_STATUS_TXT;DOC_CHECK_STATUS_TXT;VARCHAR;30;0;0;0;0;1;0;1
