MPM,E,MPM,Mass parts per million
MPS,E,MPS,Millipascal seconds
MGQ,E,MGQ,Milligram/cubic meter
KHZ,E,KHZ,Kilohertz
kml,E,kml,Kilogram/Kilogram Mole
MPZ,E,MPZ,Meterpascal/second
D41,E,TOM,Ton/Cubic meter
lbg,E,lbg,US Pound/US Gallon
MNM,E,MNM,Millinewton/meter
TES,E,TES,Tesla
TH,E,TS,Thousands
M2,E,M2,Square meter
M2I,E,M-2,1 / square meter
M2S,E,M2S,Square meter/second
M3,E,M3,Cubic meter
ML,E,ML,Milliliter
VAL,E,VAL,Value-only material
TO,E,TO,Tonne
TON,E,TON,US ton
TST,E,001,
V,E,V,Volt
2X,E,000,Meter/Minute
MON,E,MON,Months
MPA,E,MPA,Megapascal
PS,E,PS,Picosecond
CTL,E,CL,Centiliter
MIM,E,µM,Micrometer
D46,E,VAM,Voltampere
DEG,E,DEG,Degree
MS,E,MSE,Millisecond
PPB,E,PPB,Parts per billion
V01,E,MSC,Microsiemens per centimeter
NAM,E,NAM,Nanometer
4G,E,µL,Microliter
4O,E,µF,Microfarad
4T,E,IB,Pikofarad
2M,E,CMS,Centimeter/second
HPA,E,HPA,Hectopascal
MMG,E,MMG,Millimol/gram
gjm,E,gjm,Gigajoule/Cubic Meter
KVA,E,KVA,Kilovoltampere
MIN,E,MIN,Minute
lbb,E,lbb,US Pound/British Thermal Unit
MS2,E,MS2,Meter/second squared
PPM,E,PPM,Parts per million
MEJ,E,MEJ,Megajoule
tm3,E,tm3,Tonne/1000 Cubic Meters
tt,E,tt,Tonne/Tonne
ttj,E,ttj,Tonne/Terajoule
TEU,E,TEU,20\\' Container.
MLW,E,MLI,Milliliter act. ingr.
MM,E,MM,Millimeter
MM2,E,MM2,Square millimeter
MMA,E,MMA,Millimeter/year
MJ,E,MIJ,Millijoule
VPM,E,VPM,Volume parts per million
VPT,E,VPT,Volume parts per trillion
W,E,W,Watt
WCH,E,WK,Weeks
kgt,E,kgt,Kilogram/US Tonne
KJM,E,KJM,Kilojoule/Mol
KM,E,KM,Kilometer
BAG,E,BAG,Bag
BAR,E,BAR,bar
C39,E,NA,Nanoampere
A93,E,GM3,Gram/Cubic meter
ACR,E,ACR,Acre
D10,E,S/M,Siemens per meter
MIS,E,MIS,Microsecond
bgl,E,bgl,British Thermal Unit/US Gallon
btl,E,btl,British Thermal Unit/US Pound
WTL,E,WKY,Vaporization Speed
YD,E,YD,Yards
YD2,E,YD2,Square Yard
YD3,E,YD3,Cubic yard
V02,E,MPL,Millimol per liter
MOK,E,MOK,Mol/kilogram
GRO,E,GRO,Gross
V%,E,V%,Percent volume
V%O,E,V%O,Permille volume
tjl,E,tjl,Tonne/Joule
N,E,N,Newton
MOL,E,MOL,Mol
PAS,E,PAS,Pascal second
PMI,E,PMI,1/minute
PMR,E,PMR,Permeation Rate SI
lbl,E,lbl,US Pound/US Pound Mole
VPB,E,VPB,Volume parts per billion
LB,E,LB,US pound
GW,E,GAI,Gram act. ingrd.
ST,E,PC,Piece
kgj,E,kgj,Kilogram/Joule
kgm,E,kgm,Kilogram/Million BTU
gj3,E,gj3,Gigajoule/1000 Cubic Meters
MLK,E,MLK,Milliliter/cubic meter
WMK,E,WMK,Heat Conductivity
MPT,E,MPT,Mass parts per trillion
PPT,E,PPT,Parts per trillion
PRM,E,PRM,Permeation Rate
PRS,E,PRS,Number of Persons
FT3,E,FT3,Cubic foot
MQH,E,M3H,Cubic meter/Hour
