CODE;NOTATION;DESC
CM;cm;Centimeter 
DM;dm;Decimeter
FT;ft;Foot
IN;in.;Inch
KM;km;Kilometer
M;m;Meter
MI;mi;Mile
MIM;µm;Micro meters
MM;mm;Millimeter
NAM;nm;Nautical mile
YD;yd;Yard
