CODE;NOTATION;DESC
G;g;Gram
KG;kg;Kilogram
KT;kt;Kilotonne
LB;lb;US pound
MG;mg;Milligram
OZ;oz;Ounce
TO;to;Tonne
TON;ton;US ton
