1,E,Supply and Demand Alert Rule
4,E,Location Determination Rule
3,E,Calculation Model
2,E,KPI Alert Rule
5,E,Resource Stock Alert Rule
6,E,SD KPI Bubble Rule
7,E,Available Check Rule
8,E,Exclusion Rule
9,E,Extended Columns for Pick-Up
10,E,Extended Columns for Return
11,E,Selection Date Criteria for Pickup
12,E,Selection Date Criteria for Return
13,E,Manage TU Selection in Pickup-Return
