1,1,Supply and Demand Alert Rule,CN,1
4,4,Location Determination Rule,CN,4
3,3,Calculation Model,CN,3
2,2,KPI Alert Rule,CN,2
5,5,Resource Stock Alert Rule,CN,5
6,6,SD KPI Bubble Rule,CN,6
7,7,Available Check Rule,CN,7
8,8,Exclusion Rule,CN,8
9,9,Extended Columns for Pickup,CN,9
10,10,Extended Columns for Return,CN,10
11,11,Selection Date Criteria for Pickup,CN,11
12,12,Selection Date Criteria for Return,CN,12
13,13,Manage TU Selection in Pickup-Return,CN,13
