1,Path,PATH
2,Route,ROUTE
3,Optimization,OPTIMIZATION
4,Route and Path,PATH_ROUTE
5,Route and Optimization,ROUTE_OPTIMIZATION
6,Path and Route and Optimization,PATH_ROUTE_OPTIMIZATION
